"DISTRITO","UNIDADE","AREA","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE"
"Centro","CS CÓRREGO GRANDE",0,2018,6,"0214010090",1
"Centro","CS CÓRREGO GRANDE",0,2018,5,"0214010104",1
"Centro","CS CÓRREGO GRANDE",0,2018,6,"0214010104",3
"Centro","CS CÓRREGO GRANDE",1,2018,5,"0214010058",2
"Centro","CS CÓRREGO GRANDE",1,2018,6,"0214010058",2
"Centro","CS CÓRREGO GRANDE",1,2018,5,"0214010074",3
"Centro","CS CÓRREGO GRANDE",1,2018,6,"0214010074",3
"Centro","CS CÓRREGO GRANDE",1,2018,5,"0214010090",2
"Centro","CS CÓRREGO GRANDE",1,2018,6,"0214010090",2
"Centro","CS CÓRREGO GRANDE",1,2018,5,"0214010104",2
"Centro","CS CÓRREGO GRANDE",1,2018,6,"0214010104",2
"Centro","CS ITACORUBI",0,2018,4,"0214010040",1
"Centro","CS ITACORUBI",0,2018,7,"0214010040",1
"Centro","CS ITACORUBI",0,2018,4,"0214010058",4
"Centro","CS ITACORUBI",0,2018,5,"0214010058",13
"Centro","CS ITACORUBI",0,2018,6,"0214010058",12
"Centro","CS ITACORUBI",0,2018,7,"0214010058",13
"Centro","CS ITACORUBI",0,2018,4,"0214010074",3
"Centro","CS ITACORUBI",0,2018,5,"0214010074",14
"Centro","CS ITACORUBI",0,2018,6,"0214010074",12
"Centro","CS ITACORUBI",0,2018,7,"0214010074",12
"Centro","CS ITACORUBI",0,2018,4,"0214010082",1
"Centro","CS ITACORUBI",0,2018,4,"0214010090",4
"Centro","CS ITACORUBI",0,2018,5,"0214010090",14
"Centro","CS ITACORUBI",0,2018,6,"0214010090",10
"Centro","CS ITACORUBI",0,2018,7,"0214010090",12
"Centro","CS ITACORUBI",0,2018,4,"0214010104",4
"Centro","CS ITACORUBI",0,2018,5,"0214010104",14
"Centro","CS ITACORUBI",0,2018,6,"0214010104",9
"Centro","CS ITACORUBI",0,2018,7,"0214010104",14
"Centro","CS ITACORUBI",1,2018,7,"0214010040",1
"Centro","CS ITACORUBI",1,2018,4,"0214010058",19
"Centro","CS ITACORUBI",1,2018,5,"0214010058",20
"Centro","CS ITACORUBI",1,2018,6,"0214010058",3
"Centro","CS ITACORUBI",1,2018,7,"0214010058",27
"Centro","CS ITACORUBI",1,2018,4,"0214010074",18
"Centro","CS ITACORUBI",1,2018,5,"0214010074",20
"Centro","CS ITACORUBI",1,2018,6,"0214010074",2
"Centro","CS ITACORUBI",1,2018,7,"0214010074",27
"Centro","CS ITACORUBI",1,2018,4,"0214010090",19
"Centro","CS ITACORUBI",1,2018,5,"0214010090",19
"Centro","CS ITACORUBI",1,2018,6,"0214010090",2
"Centro","CS ITACORUBI",1,2018,7,"0214010090",27
"Centro","CS ITACORUBI",1,2018,4,"0214010104",18
"Centro","CS ITACORUBI",1,2018,5,"0214010104",21
"Centro","CS ITACORUBI",1,2018,6,"0214010104",2
"Centro","CS ITACORUBI",1,2018,7,"0214010104",27
"Centro","CS ITACORUBI",2,2018,4,"0214010058",8
"Centro","CS ITACORUBI",2,2018,5,"0214010058",1
"Centro","CS ITACORUBI",2,2018,6,"0214010058",1
"Centro","CS ITACORUBI",2,2018,7,"0214010058",3
"Centro","CS ITACORUBI",2,2018,4,"0214010074",6
"Centro","CS ITACORUBI",2,2018,5,"0214010074",1
"Centro","CS ITACORUBI",2,2018,6,"0214010074",1
"Centro","CS ITACORUBI",2,2018,7,"0214010074",2
"Centro","CS ITACORUBI",2,2018,4,"0214010090",7
"Centro","CS ITACORUBI",2,2018,5,"0214010090",1
"Centro","CS ITACORUBI",2,2018,7,"0214010090",2
"Centro","CS ITACORUBI",2,2018,4,"0214010104",7
"Centro","CS ITACORUBI",2,2018,5,"0214010104",1
"Centro","CS ITACORUBI",2,2018,7,"0214010104",2
"Centro","CS ITACORUBI",3,2018,4,"0214010058",7
"Centro","CS ITACORUBI",3,2018,5,"0214010058",11
"Centro","CS ITACORUBI",3,2018,6,"0214010058",2
"Centro","CS ITACORUBI",3,2018,7,"0214010058",9
"Centro","CS ITACORUBI",3,2018,4,"0214010074",7
"Centro","CS ITACORUBI",3,2018,5,"0214010074",11
"Centro","CS ITACORUBI",3,2018,6,"0214010074",1
"Centro","CS ITACORUBI",3,2018,7,"0214010074",9
"Centro","CS ITACORUBI",3,2018,4,"0214010090",6
"Centro","CS ITACORUBI",3,2018,5,"0214010090",11
"Centro","CS ITACORUBI",3,2018,6,"0214010090",1
"Centro","CS ITACORUBI",3,2018,7,"0214010090",9
"Centro","CS ITACORUBI",3,2018,4,"0214010104",8
"Centro","CS ITACORUBI",3,2018,5,"0214010104",11
"Centro","CS ITACORUBI",3,2018,6,"0214010104",1
"Centro","CS ITACORUBI",3,2018,7,"0214010104",9
"Centro","CS JOÃO PAULO",0,2018,4,"0214010058",3
"Centro","CS JOÃO PAULO",0,2018,5,"0214010058",1
"Centro","CS JOÃO PAULO",0,2018,4,"0214010074",3
"Centro","CS JOÃO PAULO",0,2018,5,"0214010074",2
"Centro","CS JOÃO PAULO",0,2018,4,"0214010090",3
"Centro","CS JOÃO PAULO",0,2018,5,"0214010090",1
"Centro","CS JOÃO PAULO",0,2018,4,"0214010104",2
"Centro","CS JOÃO PAULO",0,2018,5,"0214010104",1
"Centro","CS JOÃO PAULO",1,2018,7,"0214010058",1
"Centro","CS JOÃO PAULO",1,2018,6,"0214010074",1
"Centro","CS JOÃO PAULO",1,2018,7,"0214010074",1
"Centro","CS JOÃO PAULO",1,2018,5,"0214010090",3
"Centro","CS JOÃO PAULO",1,2018,7,"0214010090",1
"Centro","CS JOÃO PAULO",1,2018,7,"0214010104",1
"Centro","CS MONTE SERRAT",0,2018,4,"0214010040",1
