"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Sul","2018 Q1","PORCENT_ESP_MED",88.34
"Centro","2013 Q1","PORCENT_ESP_ENF",90.82
"Continente","2013 Q1","PORCENT_ESP_ENF",83.42
"Norte","2013 Q1","PORCENT_ESP_ENF",85.38
"Sul","2013 Q1","PORCENT_ESP_ENF",90.26
"Centro","2013 Q2","PORCENT_ESP_ENF",91.84
"Continente","2013 Q2","PORCENT_ESP_ENF",82.88
"Norte","2013 Q2","PORCENT_ESP_ENF",85.18
"Sul","2013 Q2","PORCENT_ESP_ENF",90
"Centro","2013 Q3","PORCENT_ESP_ENF",91.34
"Continente","2013 Q3","PORCENT_ESP_ENF",83.45
"Norte","2013 Q3","PORCENT_ESP_ENF",84.51
"Sul","2013 Q3","PORCENT_ESP_ENF",88.88
"Centro","2013 Q4","PORCENT_ESP_ENF",92.37
"Continente","2013 Q4","PORCENT_ESP_ENF",86.06
"Norte","2013 Q4","PORCENT_ESP_ENF",82.24
"Sul","2013 Q4","PORCENT_ESP_ENF",88.48
"Centro","2014 Q1","PORCENT_ESP_ENF",91.91
"Continente","2014 Q1","PORCENT_ESP_ENF",83.96
"Norte","2014 Q1","PORCENT_ESP_ENF",83.64
"Sul","2014 Q1","PORCENT_ESP_ENF",87.49
"Centro","2014 Q2","PORCENT_ESP_ENF",93.18
"Continente","2014 Q2","PORCENT_ESP_ENF",85.38
"Norte","2014 Q2","PORCENT_ESP_ENF",83.64
"Sul","2014 Q2","PORCENT_ESP_ENF",88.89
"Centro","2014 Q3","PORCENT_ESP_ENF",92.8
"Continente","2014 Q3","PORCENT_ESP_ENF",82.9
"Norte","2014 Q3","PORCENT_ESP_ENF",83.66
"Sul","2014 Q3","PORCENT_ESP_ENF",89.31
"Centro","2014 Q4","PORCENT_ESP_ENF",92.65
"Continente","2014 Q4","PORCENT_ESP_ENF",83.5
"Norte","2014 Q4","PORCENT_ESP_ENF",83.35
"Sul","2014 Q4","PORCENT_ESP_ENF",88.11
"Centro","2015 Q1","PORCENT_ESP_ENF",90.73
"Continente","2015 Q1","PORCENT_ESP_ENF",82.32
"Norte","2015 Q1","PORCENT_ESP_ENF",80.53
"Sul","2015 Q1","PORCENT_ESP_ENF",87.5
"Centro","2015 Q2","PORCENT_ESP_ENF",92.39
"Continente","2015 Q2","PORCENT_ESP_ENF",83.17
"Norte","2015 Q2","PORCENT_ESP_ENF",82.2
"Sul","2015 Q2","PORCENT_ESP_ENF",90.4
"Centro","2015 Q3","PORCENT_ESP_ENF",90.82
"Continente","2015 Q3","PORCENT_ESP_ENF",83.89
"Norte","2015 Q3","PORCENT_ESP_ENF",81.9
"Sul","2015 Q3","PORCENT_ESP_ENF",87.95
"Centro","2015 Q4","PORCENT_ESP_ENF",90.7
"Continente","2015 Q4","PORCENT_ESP_ENF",87.71
"Norte","2015 Q4","PORCENT_ESP_ENF",84.43
"Sul","2015 Q4","PORCENT_ESP_ENF",89.13
"Centro","2016 Q1","PORCENT_ESP_ENF",90.77
"Continente","2016 Q1","PORCENT_ESP_ENF",87.22
"Norte","2016 Q1","PORCENT_ESP_ENF",83.71
"Sul","2016 Q1","PORCENT_ESP_ENF",89.09
"Centro","2016 Q2","PORCENT_ESP_ENF",91.19
"Continente","2016 Q2","PORCENT_ESP_ENF",86.88
"Norte","2016 Q2","PORCENT_ESP_ENF",85.2
"Sul","2016 Q2","PORCENT_ESP_ENF",89.29
"Centro","2016 Q3","PORCENT_ESP_ENF",90.43
"Continente","2016 Q3","PORCENT_ESP_ENF",87.83
"Norte","2016 Q3","PORCENT_ESP_ENF",85.12
"Sul","2016 Q3","PORCENT_ESP_ENF",89.25
"Centro","2016 Q4","PORCENT_ESP_ENF",91.17
"Continente","2016 Q4","PORCENT_ESP_ENF",89.26
"Norte","2016 Q4","PORCENT_ESP_ENF",86.14
"Sul","2016 Q4","PORCENT_ESP_ENF",90.37
"Centro","2017 Q1","PORCENT_ESP_ENF",90.58
"Continente","2017 Q1","PORCENT_ESP_ENF",88.8
"Norte","2017 Q1","PORCENT_ESP_ENF",82.02
"Sul","2017 Q1","PORCENT_ESP_ENF",89.47
"Centro","2017 Q2","PORCENT_ESP_ENF",91.31
"Continente","2017 Q2","PORCENT_ESP_ENF",89.44
"Norte","2017 Q2","PORCENT_ESP_ENF",85.15
"Sul","2017 Q2","PORCENT_ESP_ENF",88.79
"Centro","2017 Q3","PORCENT_ESP_ENF",90.06
"Continente","2017 Q3","PORCENT_ESP_ENF",87.65
"Norte","2017 Q3","PORCENT_ESP_ENF",85.65
"Sul","2017 Q3","PORCENT_ESP_ENF",86.37
"Centro","2017 Q4","PORCENT_ESP_ENF",91.09
"Continente","2017 Q4","PORCENT_ESP_ENF",88.46
"Norte","2017 Q4","PORCENT_ESP_ENF",86.89
"Sul","2017 Q4","PORCENT_ESP_ENF",88.46
"Centro","2018 Q1","PORCENT_ESP_ENF",91.72
"Continente","2018 Q1","PORCENT_ESP_ENF",88.72
"Norte","2018 Q1","PORCENT_ESP_ENF",87.01
"Sul","2018 Q1","PORCENT_ESP_ENF",87.61
"Centro","2013 Q1","PORCENT_ESP_ODO",58.25
"Continente","2013 Q1","PORCENT_ESP_ODO",54.51
"Norte","2013 Q1","PORCENT_ESP_ODO",53.21
"Sul","2013 Q1","PORCENT_ESP_ODO",54.62
"Centro","2013 Q2","PORCENT_ESP_ODO",60.1
"Continente","2013 Q2","PORCENT_ESP_ODO",53.72
"Norte","2013 Q2","PORCENT_ESP_ODO",51.96
"Sul","2013 Q2","PORCENT_ESP_ODO",58.59
"Centro","2013 Q3","PORCENT_ESP_ODO",62.5
"Continente","2013 Q3","PORCENT_ESP_ODO",54.23
"Norte","2013 Q3","PORCENT_ESP_ODO",54.48
"Sul","2013 Q3","PORCENT_ESP_ODO",57.41
"Centro","2013 Q4","PORCENT_ESP_ODO",62.74
"Continente","2013 Q4","PORCENT_ESP_ODO",57.9
"Norte","2013 Q4","PORCENT_ESP_ODO",59.02
"Sul","2013 Q4","PORCENT_ESP_ODO",60.57
"Centro","2014 Q1","PORCENT_ESP_ODO",56.88
"Continente","2014 Q1","PORCENT_ESP_ODO",52.97
"Norte","2014 Q1","PORCENT_ESP_ODO",51.35
"Sul","2014 Q1","PORCENT_ESP_ODO",58.05
"Centro","2014 Q2","PORCENT_ESP_ODO",61.01
"Continente","2014 Q2","PORCENT_ESP_ODO",57.15
"Norte","2014 Q2","PORCENT_ESP_ODO",53.87
"Sul","2014 Q2","PORCENT_ESP_ODO",61.06
"Centro","2014 Q3","PORCENT_ESP_ODO",59.3
"Continente","2014 Q3","PORCENT_ESP_ODO",55.69
"Norte","2014 Q3","PORCENT_ESP_ODO",52.16
"Sul","2014 Q3","PORCENT_ESP_ODO",56.34
"Centro","2014 Q4","PORCENT_ESP_ODO",63.15
"Continente","2014 Q4","PORCENT_ESP_ODO",61.71
"Norte","2014 Q4","PORCENT_ESP_ODO",57.65
"Sul","2014 Q4","PORCENT_ESP_ODO",58.59
"Centro","2015 Q1","PORCENT_ESP_ODO",61.71
"Continente","2015 Q1","PORCENT_ESP_ODO",56.58
"Norte","2015 Q1","PORCENT_ESP_ODO",49.52
"Sul","2015 Q1","PORCENT_ESP_ODO",58.64
"Centro","2015 Q2","PORCENT_ESP_ODO",58.31
"Continente","2015 Q2","PORCENT_ESP_ODO",54.06
"Norte","2015 Q2","PORCENT_ESP_ODO",53.91
"Sul","2015 Q2","PORCENT_ESP_ODO",56.24
"Centro","2015 Q3","PORCENT_ESP_ODO",63.06
"Continente","2015 Q3","PORCENT_ESP_ODO",58.82
"Norte","2015 Q3","PORCENT_ESP_ODO",57.48
"Sul","2015 Q3","PORCENT_ESP_ODO",62.35
"Centro","2015 Q4","PORCENT_ESP_ODO",65.17
"Continente","2015 Q4","PORCENT_ESP_ODO",60.06
"Norte","2015 Q4","PORCENT_ESP_ODO",58.51
"Sul","2015 Q4","PORCENT_ESP_ODO",64.37
"Centro","2016 Q1","PORCENT_ESP_ODO",62.47
"Continente","2016 Q1","PORCENT_ESP_ODO",56.33
"Norte","2016 Q1","PORCENT_ESP_ODO",54.72
"Sul","2016 Q1","PORCENT_ESP_ODO",64.73
"Centro","2016 Q2","PORCENT_ESP_ODO",62.41
"Continente","2016 Q2","PORCENT_ESP_ODO",60.41
"Norte","2016 Q2","PORCENT_ESP_ODO",55.65
"Sul","2016 Q2","PORCENT_ESP_ODO",62.89
"Centro","2016 Q3","PORCENT_ESP_ODO",65.25
"Continente","2016 Q3","PORCENT_ESP_ODO",66.03
"Norte","2016 Q3","PORCENT_ESP_ODO",59.22
"Sul","2016 Q3","PORCENT_ESP_ODO",69.71
"Centro","2016 Q4","PORCENT_ESP_ODO",69.37
"Continente","2016 Q4","PORCENT_ESP_ODO",74.58
"Norte","2016 Q4","PORCENT_ESP_ODO",64.44
"Sul","2016 Q4","PORCENT_ESP_ODO",72.58
"Centro","2017 Q1","PORCENT_ESP_ODO",63.18
"Continente","2017 Q1","PORCENT_ESP_ODO",64.3
"Norte","2017 Q1","PORCENT_ESP_ODO",53.31
"Sul","2017 Q1","PORCENT_ESP_ODO",70.11
"Centro","2017 Q2","PORCENT_ESP_ODO",68.21
"Continente","2017 Q2","PORCENT_ESP_ODO",64.72
"Norte","2017 Q2","PORCENT_ESP_ODO",57.49
"Sul","2017 Q2","PORCENT_ESP_ODO",72.57
"Centro","2017 Q3","PORCENT_ESP_ODO",68.8
"Continente","2017 Q3","PORCENT_ESP_ODO",65.48
"Norte","2017 Q3","PORCENT_ESP_ODO",60.24
"Sul","2017 Q3","PORCENT_ESP_ODO",74.32
"Centro","2017 Q4","PORCENT_ESP_ODO",68.67
"Continente","2017 Q4","PORCENT_ESP_ODO",68.47
"Norte","2017 Q4","PORCENT_ESP_ODO",62.4
"Sul","2017 Q4","PORCENT_ESP_ODO",76.8
"Centro","2018 Q1","PORCENT_ESP_ODO",65.19
"Continente","2018 Q1","PORCENT_ESP_ODO",65.19
"Norte","2018 Q1","PORCENT_ESP_ODO",56.29
"Sul","2018 Q1","PORCENT_ESP_ODO",68.05
