"TRIMESTRE","VALOR"
"2013 Q1",13351
"2013 Q2",13137
"2013 Q3",14155
"2013 Q4",11905
"2014 Q1",12818
"2014 Q2",12259
"2014 Q3",13884
"2014 Q4",13485
"2015 Q1",13161
"2015 Q2",11009
"2015 Q3",14088
"2015 Q4",12597
"2016 Q1",9955
"2016 Q2",12766
"2016 Q3",12983
"2016 Q4",11701
"2017 Q1",6670
"2017 Q2",11782
"2017 Q3",11988
"2017 Q4",7692
"2018 Q1",10137
