"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Norte","2018 Q1","CONSULTA_MED",38932
"Sul","2018 Q1","CONSULTA_MED",28349
"Centro","2013 Q1","CONSULTA_ODO",4844
"Continente","2013 Q1","CONSULTA_ODO",4723
"Norte","2013 Q1","CONSULTA_ODO",5874
"Sul","2013 Q1","CONSULTA_ODO",4811
"Centro","2013 Q2","CONSULTA_ODO",5071
"Continente","2013 Q2","CONSULTA_ODO",4373
"Norte","2013 Q2","CONSULTA_ODO",6299
"Sul","2013 Q2","CONSULTA_ODO",5388
"Centro","2013 Q3","CONSULTA_ODO",5674
"Continente","2013 Q3","CONSULTA_ODO",5596
"Norte","2013 Q3","CONSULTA_ODO",6581
"Sul","2013 Q3","CONSULTA_ODO",5606
"Centro","2013 Q4","CONSULTA_ODO",4570
"Continente","2013 Q4","CONSULTA_ODO",4324
"Norte","2013 Q4","CONSULTA_ODO",5129
"Sul","2013 Q4","CONSULTA_ODO",4090
"Centro","2014 Q1","CONSULTA_ODO",4665
"Continente","2014 Q1","CONSULTA_ODO",4457
"Norte","2014 Q1","CONSULTA_ODO",5206
"Sul","2014 Q1","CONSULTA_ODO",4545
"Centro","2014 Q2","CONSULTA_ODO",5005
"Continente","2014 Q2","CONSULTA_ODO",4866
"Norte","2014 Q2","CONSULTA_ODO",5489
"Sul","2014 Q2","CONSULTA_ODO",4806
"Centro","2014 Q3","CONSULTA_ODO",5974
"Continente","2014 Q3","CONSULTA_ODO",5738
"Norte","2014 Q3","CONSULTA_ODO",7540
"Sul","2014 Q3","CONSULTA_ODO",5265
"Centro","2014 Q4","CONSULTA_ODO",4602
"Continente","2014 Q4","CONSULTA_ODO",5234
"Norte","2014 Q4","CONSULTA_ODO",6070
"Sul","2014 Q4","CONSULTA_ODO",4696
"Centro","2015 Q1","CONSULTA_ODO",4045
"Continente","2015 Q1","CONSULTA_ODO",4278
"Norte","2015 Q1","CONSULTA_ODO",5576
