"TRIMESTRE","VALOR"
"2013 Q1",3761
"2013 Q2",4137
"2013 Q3",4355
"2013 Q4",3513
"2014 Q1",3805
"2014 Q2",3758
"2014 Q3",4678
"2014 Q4",3815
"2015 Q1",3379
"2015 Q2",3228
"2015 Q3",4393
"2015 Q4",3799
"2016 Q1",3532
"2016 Q2",5029
"2016 Q3",4808
"2016 Q4",4103
"2017 Q1",2608
"2017 Q2",5486
"2017 Q3",6012
"2017 Q4",5022
"2018 Q1",4520
