"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Centro","CS PRAINHA","2013 Q3","PERCENTUAL_TODOS_TRI",57.1428571428571
"Norte","CS RATONES","2013 Q3","PERCENTUAL_TODOS_TRI",60
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3","PERCENTUAL_TODOS_TRI",50
"Sul","CS RIO TAVARES","2013 Q3","PERCENTUAL_TODOS_TRI",37.5
"Norte","CS RIO VERMELHO","2013 Q3","PERCENTUAL_TODOS_TRI",46.2962962962963
"Centro","CS SACO DOS LIMÕES","2013 Q3","PERCENTUAL_TODOS_TRI",39.1304347826087
"Norte","CS SACO GRANDE","2013 Q3","PERCENTUAL_TODOS_TRI",51.9230769230769
"Norte","CS SANTINHO","2013 Q3","PERCENTUAL_TODOS_TRI",37.9310344827586
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS SAPE","2013 Q3","PERCENTUAL_TODOS_TRI",63.6363636363636
"Sul","CS TAPERA","2013 Q3","PERCENTUAL_TODOS_TRI",63.6363636363636
"Centro","CS TRINDADE","2013 Q3","PERCENTUAL_TODOS_TRI",44.1176470588235
"Norte","CS VARGEM GRANDE","2013 Q3","PERCENTUAL_TODOS_TRI",75
"Norte","CS VARGEM PEQUENA","2013 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS VILA APARECIDA","2013 Q3","PERCENTUAL_TODOS_TRI",22.2222222222222
"Continente","CS ABRAÃO","2013 Q4","PERCENTUAL_TODOS_TRI",36.3636363636364
"Centro","CS AGRONÔMICA","2013 Q4","PERCENTUAL_TODOS_TRI",51.3513513513513
"Sul","CS ALTO RIBEIRÃO","2013 Q4","PERCENTUAL_TODOS_TRI",58.8235294117647
"Sul","CS ARMAÇÃO","2013 Q4","PERCENTUAL_TODOS_TRI",28.5714285714286
"Continente","CS BALNEÁRIO","2013 Q4","PERCENTUAL_TODOS_TRI",25
"Norte","CS BARRA DA LAGOA","2013 Q4","PERCENTUAL_TODOS_TRI",37.5
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4","PERCENTUAL_TODOS_TRI",60.8695652173913
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4","PERCENTUAL_TODOS_TRI",50
"Sul","CS CAMPECHE","2013 Q4","PERCENTUAL_TODOS_TRI",53.3333333333333
"Norte","CS CANASVIEIRAS","2013 Q4","PERCENTUAL_TODOS_TRI",53.8461538461538
"Sul","CS CANTO DA LAGOA","2013 Q4","PERCENTUAL_TODOS_TRI",42.8571428571429
"Continente","CS CAPOEIRAS","2013 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Sul","CS CARIANOS","2013 Q4","PERCENTUAL_TODOS_TRI",35.7142857142857
"Centro","CS CENTRO","2013 Q4","PERCENTUAL_TODOS_TRI",40
"Continente","CS COLONINHA","2013 Q4","PERCENTUAL_TODOS_TRI",40
"Continente","CS COQUEIROS","2013 Q4","PERCENTUAL_TODOS_TRI",35.7142857142857
"Centro","CS CÓRREGO GRANDE","2013 Q4","PERCENTUAL_TODOS_TRI",60
"Sul","CS COSTA DA LAGOA","2013 Q4","PERCENTUAL_TODOS_TRI",75
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q4","PERCENTUAL_TODOS_TRI",43.3333333333333
"Continente","CS ESTREITO","2013 Q4","PERCENTUAL_TODOS_TRI",70
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q4","PERCENTUAL_TODOS_TRI",57.1428571428571
"Norte","CS INGLESES","2013 Q4","PERCENTUAL_TODOS_TRI",37.7049180327869
"Centro","CS ITACORUBI","2013 Q4","PERCENTUAL_TODOS_TRI",78.2608695652174
"Continente","CS JARDIM ATLÂNTICO","2013 Q4","PERCENTUAL_TODOS_TRI",0
"Centro","CS JOÃO PAULO","2013 Q4","PERCENTUAL_TODOS_TRI",71.4285714285714
"Norte","CS JURERE","2013 Q4","PERCENTUAL_TODOS_TRI",50
