"TRIMESTRE","VALOR"
"2013 Q1",6928
"2013 Q2",7006
"2013 Q3",6997
"2013 Q4",4818
"2014 Q1",6631
"2014 Q2",6220
"2014 Q3",6793
"2014 Q4",4790
"2015 Q1",5893
"2015 Q2",5138
"2015 Q3",6411
"2015 Q4",5053
"2016 Q1",5705
"2016 Q2",7610
"2016 Q3",7046
"2016 Q4",5263
"2017 Q1",4174
"2017 Q2",7887
"2017 Q3",8257
"2017 Q4",6421
"2018 Q1",6856
