"DISTRITO","UNIDADE","ANO","MES","CITOPATO","PESSOAS","AREA"
"Sul","CS RIO TAVARES",2018,5,3,52,292
"Sul","CS RIO TAVARES",2018,6,4,46,292
"Sul","CS RIO TAVARES",2018,7,10,61,292
"Sul","CS RIO TAVARES",2018,4,1,24,293
"Sul","CS RIO TAVARES",2018,5,6,30,293
"Sul","CS RIO TAVARES",2018,6,2,25,293
"Sul","CS RIO TAVARES",2018,7,1,23,293
"Sul","CS TAPERA",2018,4,3,146,260
"Sul","CS TAPERA",2018,5,14,243,260
"Sul","CS TAPERA",2018,6,29,267,260
"Sul","CS TAPERA",2018,7,17,266,260
"Sul","CS TAPERA",2018,4,4,91,261
"Sul","CS TAPERA",2018,5,4,156,261
"Sul","CS TAPERA",2018,6,7,162,261
"Sul","CS TAPERA",2018,7,4,132,261
"Sul","CS TAPERA",2018,5,16,190,262
"Sul","CS TAPERA",2018,6,12,208,262
"Sul","CS TAPERA",2018,7,13,203,262
"Sul","CS TAPERA",2018,4,1,109,263
"Sul","CS TAPERA",2018,5,16,202,263
"Sul","CS TAPERA",2018,6,20,230,263
"Sul","CS TAPERA",2018,7,13,243,263
