"DISTRITO","UNIDADE","AREA","ANO","MES","GESTANTES","GESTANTES_7_CONS","GEST_TODOS_TRI","GEST_ODONTO"
"Sul","CS TAPERA",0,2018,4,3,3,3,1
"Sul","CS TAPERA",0,2018,5,5,4,1,0
"Sul","CS TAPERA",0,2018,6,4,3,2,2
"Sul","CS TAPERA",0,2018,7,5,5,4,0
"Sul","CS TAPERA",1,2018,4,5,3,2,1
"Sul","CS TAPERA",1,2018,5,5,5,3,1
"Sul","CS TAPERA",1,2018,6,2,2,1,0
"Sul","CS TAPERA",1,2018,7,1,1,1,1
"Sul","CS TAPERA",2,2018,4,4,3,2,1
"Sul","CS TAPERA",2,2018,5,5,1,0,0
"Sul","CS TAPERA",2,2018,6,4,4,3,0
"Sul","CS TAPERA",2,2018,7,6,4,3,0
"Sul","CS TAPERA",3,2018,4,2,2,1,0
"Sul","CS TAPERA",3,2018,5,7,5,3,2
"Sul","CS TAPERA",3,2018,6,6,5,3,3
"Sul","CS TAPERA",3,2018,7,4,3,2,1
