"DISTRITO","TRIMESTRE","PROCEDIMENTO","VALOR"
"Continente","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",56
"Norte","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",100
"Sul","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",75
"Centro","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",67
"Continente","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",92
"Norte","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",140
"Sul","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",96
"Centro","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",123
"Continente","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",92
"Norte","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",162
"Sul","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",129
"Centro","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",242
"Continente","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",117
"Norte","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",189
"Sul","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",132
"Centro","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",264
"Continente","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",147
"Norte","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",191
"Sul","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",223
"Continente","2013 Q3","TESTE RÁPIDO PARA SÍFILIS",1
"Centro","2014 Q3","TESTE RÁPIDO PARA SÍFILIS",1
"Centro","2014 Q4","TESTE RÁPIDO PARA SÍFILIS",1
"Continente","2014 Q4","TESTE RÁPIDO PARA SÍFILIS",4
"Norte","2014 Q4","TESTE RÁPIDO PARA SÍFILIS",4
"Centro","2015 Q1","TESTE RÁPIDO PARA SÍFILIS",21
